OBJECTID	Value_	Count_
1	0	19026
2	10	29813
3	20	194013
4	30	66409
5	40	117839
6	50	3298
7	60	19
8	70	66
9	80	27852
10	90	789
11	100	2846
12	110	10009
13	120	40709
14	130	159099
15	140	685641
16	150	925242
17	160	523598
18	170	310299
19	180	134575
20	190	118167
21	200	114353
22	210	194035
23	220	164360
24	230	171345
25	240	148377
26	250	150694
27	260	112238
28	270	62259
29	280	23641
30	290	15377
31	300	9713
32	310	4961
33	320	2478
34	330	1801
35	340	1288
36	350	714
37	360	541
38	370	367
39	380	215
40	390	199
41	400	142
42	410	124
43	420	91
44	430	82
45	440	91
46	450	88
47	460	76
48	470	30
49	480	5
