OBJECTID	Value_	Count_		OBJECTID	Value_	Count_		Change
1	0	19026		1	0	18987		-39
2	10	29813		2	10	42338		12525
3	20	194013		3	20	181710		-12303
4	30	66409		4	30	58876		-7533
5	40	117839		5	40	185999		68160
6	50	3298		6	50	17944		14646
7	60	19		7	60	7248		7229
8	70	66		8	70	6810		6744
9	80	27852		9	80	258939		231087
10	90	789		10	90	394		-395
11	100	2846		11	100	6209		3363
12	110	10009		12	110	5442		-4567
13	120	40709		13	120	35966		-4743
14	130	159099		14	130	118194		-40905
15	140	685641		15	140	518496		-167145
16	150	925242		16	150	809150		-116092
17	160	523598		17	160	377518		-146080
18	170	310299		18	170	215590		-94709
19	180	134575		19	180	100504		-34071
20	190	118167		20	190	478272		360105
21	200	114353		21	200	463578		349225
22	210	194035		22	210	132284		-61751
23	220	164360		23	220	89704		-74656
24	230	171345		24	230	100942		-70403
25	240	148377		25	240	66270		-82107
26	250	150694		26	250	76845		-73849
27	260	112238		27	260	56059		-56179
28	270	62259		28	270	37119		-25140
29	280	23641		29	280	69354		45713
30	290	15377		30	290	4423		-10954
31	300	9713		31	300	2739		-6974
32	310	4961		32	310	1830		-3131
33	320	2478		33	320	844		-1634
34	330	1801		34	330	623		-1178
35	340	1288		35	340	491		-797
36	350	714		36	350	290		-424
37	360	541		37	360	224		-317
38	370	367		38	370	135		-232
39	380	215		39	380	99		-116
40	390	199		40	390	95		-104
41	400	142		41	400	64		-78
42	410	124		42	410	63		-61
43	420	91		43	420	52		-39
44	430	82		44	430	50		-32
45	440	91		45	440	65		-26
46	450	88		46	450	63		-25
47	460	76		47	460	70		-6
48	470	30		48	470	28		-2
49	480	5		49	480	5		0
		4548994				4548994		
