Cover,CoverCode,Condition,ConditionCode,Min Age,Max Age
CMM,3,EARLY_ALL,10,0,20
CMM,3,MID_OP,22,20,140
CMM,3,MID_CL,21,60,140
CMM,3,LATE_OP,32,140,9999
CMM,3,LATE_CL,31,140,9999
DFTO,4,EARLY_ALL,10,0,40
DFTO,4,MID_ALL,20,20,80
DFTO,4,LATE_ALL,30,40,9999
DFTO_U,5,EARLY_ALL,10,0,80
DFTO_U,5,MID_ALL,20,30,160
DFTO_U,5,LATE_ALL,30,160,9999
LPN,7,EARLY_ALL,10,0,40
LPN,7,MID_CL,21,10,120
LPN,7,MID_OP,22,10,140
LPN,7,LATE_CL,31,50,9999
LPN,7,LATE_OP,32,60,9999
LPN_ASP,8,EARLY_ASP,40,0,10
LPN_ASP,8,MID_ASP,41,10,110
LPN_ASP,8,MID_AC,42,60,210
LPN_ASP,8,LATE_CL,31,160,9999
LPN_ASP,8,LATE_CA,43,170,9999
LSG,9,EARLY_ALL,10,0,20
LSG,9,MID_ALL,20,20,140
LSG,9,LATE_OP,32,140,210
LSG,9,LATE_CL,31,210,9999
MHW,11,EARLY_ALL,10,0,40
MHW,11,MID_ALL,20,20,80
MHW,11,LATE_ALL,30,40,9999
MHW_U,12,EARLY_ALL,10,0,80
MHW_U,12,MID_ALL,20,30,160
MHW_U,12,LATE_ALL,30,160,9999
MRIP,13,EARLY_ALL,10,0,10
MRIP,13,MID_ALL,20,10,30
MRIP,13,LATE_ALL,30,30,9999
OAK,14,EARLY_ALL,10,0,60
OAK,14,MID_ALL,20,20,130
OAK,14,LATE_OP,32,60,9999
OAK,14,LATE_CL,31,80,9999
OCFW,15,EARLY_ALL,10,0,50
OCFW,15,MID_OP,22,20,280
OCFW,15,MID_CL,21,20,200
OCFW,15,LATE_ALL,30,100,9999
OCFW_U,16,EARLY_ALL,10,0,100
OCFW_U,16,MID_OP,22,50,330
OCFW_U,16,MID_CL,21,110,410
OCFW_U,16,LATE_ALL,30,190,9999
RFR_M,18,EARLY_ALL,10,0,70
RFR_M,18,MID_CL,21,30,150
RFR_M,18,MID_OP,22,30,150
RFR_M,18,LATE_CL,31,110,9999
RFR_M,18,LATE_OP,32,110,9999
RFR_X,20,EARLY_ALL,10,0,150
RFR_X,20,MID_CL,21,50,250
RFR_X,20,MID_OP,22,50,250
RFR_X,20,LATE_CL,31,130,9999
RFR_X,20,LATE_OP,32,100,9999
RFR_U,19,EARLY_ALL,10,0,150
RFR_U,19,MID_CL,21,80,300
RFR_U,19,MID_OP,22,80,300
RFR_U,19,LATE_CL,31,160,9999
RFR_U,19,LATE_OP,32,160,9999
RFR_ASP,17,EARLY_ASP,40,0,10
RFR_ASP,17,MID_ASP,41,10,110
RFR_ASP,17,MID_AC,42,60,210
RFR_ASP,17,LATE_CL,31,160,9999
RFR_ASP,17,LATE_CA,43,170,9999
SAGE,21,EARLY_ALL,10,0,20
SAGE,21,MID_CL,21,20,60
SAGE,21,MID_OP,22,60,100
SAGE,21,LATE_OP,32,100,140
SAGE,21,LATE_CL,31,140,190
SCN,22,EARLY_ALL,10,0,80
SCN,22,MID_CL,21,20,210
SCN,22,MID_OP,22,20,210
SCN,22,LATE_CL,31,80,9999
SCN,22,LATE_OP,32,80,9999
SCN_ASP,23,EARLY_ASP,40,0,10
SCN_ASP,23,MID_ASP,41,10,130
SCN_ASP,23,LATE_CA,43,90,9999
SMC_M,25,EARLY_ALL,10,0,40
SMC_M,25,MID_CL,21,20,190
SMC_M,25,MID_OP,22,20,190
SMC_M,25,LATE_CL,31,120,9999
SMC_M,25,LATE_OP,32,120,9999
SMC_X,27,EARLY_ALL,10,0,80
SMC_X,27,MID_CL,21,40,280
SMC_X,27,MID_OP,22,40,280
SMC_X,27,LATE_CL,31,200,9999
SMC_X,27,LATE_OP,32,200,9999
SMC_U,26,EARLY_ALL,10,0,150
SMC_U,26,MID_CL,21,80,410
SMC_U,26,MID_OP,22,80,410
SMC_U,26,LATE_CL,31,280,9999
SMC_U,26,LATE_OP,32,280,9999
SMC_ASP,24,EARLY_ASP,40,0,10
SMC_ASP,24,MID_ASP,41,10,110
SMC_ASP,24,MID_AC,42,60,210
SMC_ASP,24,LATE_CL,31,160,9999
SMC_ASP,24,LATE_CA,43,170,9999
WWP,30,EARLY_ALL,10,0,70
WWP,30,MID_CL,21,30,120
WWP,30,MID_OP,22,30,120
WWP,30,LATE_CL,31,100,9999
WWP,30,LATE_OP,32,100,9999
YPN,31,EARLY_ALL,10,0,80
YPN,31,MID_CL,21,40,270
YPN,31,MID_OP,22,40,270
YPN,31,LATE_CL,31,140,9999
YPN,31,LATE_OP,32,140,9999
YPN_ASP,32,EARLY_ASP,40,0,10
YPN_ASP,32,MID_ASP,41,10,130
YPN_ASP,32,LATE_CA,43,90,9999
