"OBJECTID","Value_","Count_"
1,0,18987.000000
2,10,42338.000000
3,20,181710.000000
4,30,58876.000000
5,40,185999.000000
6,50,17944.000000
7,60,7248.000000
8,70,6810.000000
9,80,258939.000000
10,90,394.000000
11,100,6209.000000
12,110,5442.000000
13,120,35966.000000
14,130,118194.000000
15,140,518496.000000
16,150,809150.000000
17,160,377518.000000
18,170,215590.000000
19,180,100504.000000
20,190,478272.000000
21,200,463578.000000
22,210,132284.000000
23,220,89704.000000
24,230,100942.000000
25,240,66270.000000
26,250,76845.000000
27,260,56059.000000
28,270,37119.000000
29,280,69354.000000
30,290,4423.000000
31,300,2739.000000
32,310,1830.000000
33,320,844.000000
34,330,623.000000
35,340,491.000000
36,350,290.000000
37,360,224.000000
38,370,135.000000
39,380,99.000000
40,390,95.000000
41,400,64.000000
42,410,63.000000
43,420,52.000000
44,430,50.000000
45,440,65.000000
46,450,63.000000
47,460,70.000000
48,470,28.000000
49,480,5.000000
