cover_id,cover_name,cover_abr,conditions,WFIRE,PDEC,MTPB,DFBB,SBB,SBUD,PDOG,CCUT,SHELT,GRP,IND,REST,MECH,CHEM,PFIRE
1,Douglas Fir-Tanoak,DFTO,EARLY_ALL:MID_ALL:LATE_ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oak-Conifer Forest and Woodland,OCFW,EARLY_ALL:MID_CL:MID_OP:LATE_ALL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Sierran Mixed Conifer,SMC,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Urban,URB,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Montane Hardwood,MHW,EARLY_ALL:MID_ALL:LATE_ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Oak Woodland,OAK,EARLY_ALL:MID_ALL:LATE_CL:LATE_OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Grassland,GRASS,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Barren,BAR,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Water,WAT,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Agriculture,AGR,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Montane Riparian,MRIP,EARLY_ALL:MID_ALL:LATE_ALL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Meadow,MED,NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Red Fir,RFR,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lodgepole Pine,LPN,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Subalpine Conifer,SCN,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Western White Pine,WWP,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Yellow Pine,YPN,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Big Sagebrush,SAGE,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Curl-leaf Mountain Mahogany,CMM,EARLY_ALL:MID_CL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Black and Low Sagebrush,LSG,EARLY_ALL:MID_OP:LATE_CL:LATE:OP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Sierran Mixed Conifer with Aspen,SMC_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Red Fir with Aspen,RFR_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lodgepole Pine with Aspen,LPN_ASP,EARLY_ASP:MID_ASP:MID_AC:LATE_CL:LATE_CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Subalpine Conifer with Aspen,SCN_ASP,EARLY_ASP:MID_ASP:LATE_CA:LATE_CL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Yellow Pine with Aspen,YPN_ASP,EARLY_ASP:MID_ASP:LATE_CA:LATE_CL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
